item_id,order_id,product_id,quantity,unit_price,discount_percent,total_amount
1,1,386,2,701.68,0,1403.36
2,1,178,2,4402.34,0,8804.68
3,2,377,1,6254.71,0,6254.71
4,2,234,2,5602.12,15,9523.6
5,2,400,3,4374.47,15,11154.9
6,2,218,3,1540.72,5,4391.05
7,3,225,3,2588.02,0,7764.06
8,3,332,2,3688.87,15,6271.08
9,3,486,3,3709.64,10,10016.03
10,3,308,1,1524.38,0,1524.38
11,4,254,2,3465.51,20,5544.82
12,4,68,2,2616.78,5,4971.88
13,4,281,2,5148.08,10,9266.54
14,4,273,2,1425.92,10,2566.66
15,4,277,2,3013.93,20,4822.29
16,5,330,1,470.02,5,446.52
17,6,128,1,7249.11,5,6886.65
18,7,251,1,6976.91,0,6976.91
19,8,272,3,2124.34,20,5098.42
20,9,414,3,2510.66,20,6025.58
21,10,267,2,4779.51,20,7647.22
22,10,317,2,2024.72,20,3239.55
23,10,217,3,4192.63,5,11949.0
24,10,299,2,7475.8,5,14204.02
25,11,44,1,1340.72,15,1139.61
26,11,274,2,2891.92,0,5783.84
27,11,406,3,4030.65,5,11487.35
28,12,278,2,2338.26,5,4442.69
29,12,399,3,2331.2,20,5594.88
30,12,359,1,261.86,10,235.67
31,13,281,2,5148.08,10,9266.54
32,13,374,1,1802.67,10,1622.4
33,14,73,2,3534.23,5,6715.04
34,14,22,1,3180.05,10,2862.05
35,14,348,3,4604.31,20,11050.34
36,15,103,1,2323.84,20,1859.07
37,16,282,3,4605.44,20,11053.06
38,16,393,2,2875.73,20,4601.17
39,16,450,2,422.81,15,718.78
40,16,205,1,7507.34,10,6756.61
41,17,404,3,563.4,10,1521.18
42,17,231,1,4575.63,0,4575.63
43,17,279,1,4485.22,0,4485.22
44,17,52,2,6508.62,15,11064.65
45,17,420,2,6363.59,15,10818.1
46,18,217,2,4192.63,0,8385.26
47,18,94,1,1350.71,0,1350.71
48,19,470,2,2352.57,15,3999.37
49,19,381,3,556.77,15,1419.76
50,19,335,2,5478.06,20,8764.9
51,19,372,1,2494.74,15,2120.53
52,19,119,3,1142.79,10,3085.53
53,20,455,2,6577.44,10,11839.39
54,20,213,1,2423.73,0,2423.73
55,20,280,3,4159.17,0,12477.51
56,20,144,3,7284.31,15,18574.99
57,20,75,2,3588.68,0,7177.36
58,21,87,1,2389.96,10,2150.96
59,22,245,1,5580.02,0,5580.02
60,23,263,3,6118.35,15,15601.79
61,23,171,2,6936.56,10,12485.81
62,23,133,3,1385.0,20,3324.0
63,24,82,1,2444.46,5,2322.24
64,24,206,1,1253.41,20,1002.73
65,24,44,2,1340.72,20,2145.15
66,24,10,2,5468.56,15,9296.55
67,24,328,3,5573.93,20,13377.43
68,25,353,3,4033.86,20,9681.26
69,25,141,3,3465.47,20,8317.13
70,26,442,1,1838.96,10,1655.06
71,26,287,1,6451.34,10,5806.21
72,26,364,3,5852.36,0,17557.08
73,26,94,1,1350.71,20,1080.57
74,26,372,3,2494.74,15,6361.59
75,27,484,2,5153.63,15,8761.17
76,27,236,2,4408.04,15,7493.67
77,27,165,1,5590.51,10,5031.46
78,28,486,3,3709.64,10,10016.03
79,28,306,2,5184.46,10,9332.03
80,29,194,3,4961.58,15,12652.03
81,30,187,1,3050.7,0,3050.7
82,30,260,1,5601.62,5,5321.54
83,30,326,1,2999.88,20,2399.9
84,31,62,2,4736.5,10,8525.7
85,32,338,2,807.14,5,1533.57
86,32,194,2,4961.58,10,8930.84
87,32,126,3,1428.47,15,3642.6
88,32,289,1,444.25,10,399.82
89,33,486,2,3709.64,0,7419.28
90,33,398,3,6620.86,10,17876.32
91,34,313,1,988.44,10,889.6
92,35,319,1,1987.96,5,1888.56
93,35,435,2,5004.28,0,10008.56
94,35,270,1,1258.93,0,1258.93
95,36,122,2,5740.41,20,9184.66
96,36,446,1,1931.67,15,1641.92
97,36,147,2,3179.57,20,5087.31
98,36,67,1,5463.72,10,4917.35
99,36,207,2,5158.74,15,8769.86
100,37,159,3,1228.11,0,3684.33
101,37,127,1,5625.09,5,5343.84
102,37,310,1,4898.75,20,3919.0
103,37,311,2,1491.18,5,2833.24
104,37,179,3,673.16,15,1716.56
105,38,292,1,4891.34,0,4891.34
106,38,212,3,744.74,20,1787.38
107,38,46,3,1707.06,0,5121.18
108,39,180,1,1416.52,20,1133.22
109,39,40,2,3446.01,15,5858.22
110,39,196,2,417.62,10,751.72
111,39,105,1,1490.91,5,1416.36
112,39,255,1,2139.05,5,2032.1
113,40,18,3,1910.15,0,5730.45
114,41,260,2,5601.62,15,9522.75
115,41,202,1,6723.19,15,5714.71
116,41,75,2,3588.68,5,6818.49
117,41,159,2,1228.11,20,1964.98
118,42,219,1,5917.6,10,5325.84
119,42,143,2,2546.19,15,4328.52
120,42,100,3,3988.92,0,11966.76
121,42,77,3,5836.97,10,15759.82
122,43,350,3,2935.2,5,8365.32
123,43,183,1,2068.72,20,1654.98
124,43,208,3,6502.5,10,17556.75
125,44,452,3,2442.26,10,6594.1
126,44,77,1,5836.97,0,5836.97
127,45,325,1,2195.94,5,2086.14
128,46,209,2,4416.27,5,8390.91
129,46,407,1,1304.86,0,1304.86
130,46,305,3,3796.64,15,9681.43
131,46,243,3,4399.4,15,11218.47
132,46,62,1,4736.5,20,3789.2
133,47,32,3,4930.87,20,11834.09
134,47,96,3,4716.81,10,12735.39
135,47,69,1,5010.91,20,4008.73
136,47,18,1,1910.15,20,1528.12
137,47,432,3,5383.24,0,16149.72
138,48,3,1,3319.4,0,3319.4
139,48,312,2,2945.91,0,5891.82
140,48,56,2,3531.54,5,6709.93
141,49,447,2,5286.23,0,10572.46
142,49,279,3,4485.22,15,11437.31
143,49,201,2,585.34,15,995.08
144,49,351,1,3741.37,10,3367.23
145,49,134,3,2633.54,5,7505.59
146,50,112,2,1181.15,20,1889.84
147,50,234,1,5602.12,5,5322.01
148,50,48,3,316.36,0,949.08
149,50,434,3,3043.51,0,9130.53
150,51,408,2,5885.53,20,9416.85
151,51,210,3,5315.86,10,14352.82
152,51,33,1,6326.06,10,5693.45
153,51,25,1,5482.5,15,4660.12
154,51,260,3,5601.62,10,15124.37
155,52,347,1,4144.0,0,4144.0
156,52,344,3,7305.89,15,18630.02
157,52,182,1,5674.91,10,5107.42
158,52,420,3,6363.59,0,19090.77
