order_id,customer_id,order_date,payment_method,order_status
1,9449,2025-01-25,UPI,Returned
2,7636,2025-09-15,UPI,Shipped
3,6379,2025-10-11,Wallet,Cancelled
4,2789,2025-10-15,UPI,Shipped
5,569,2024-03-16,COD,Shipped
6,8279,2023-03-27,Debit Card,Shipped
7,9752,2025-06-12,Debit Card,Cancelled
8,4572,2023-04-17,UPI,Shipped
9,6133,2025-03-04,COD,Cancelled
10,9282,2023-07-12,Wallet,Returned
11,7623,2025-01-04,Debit Card,Cancelled
12,5259,2024-04-03,Credit Card,Cancelled
13,9261,2024-08-21,UPI,Returned
14,6925,2025-09-02,COD,Delivered
15,5736,2025-07-07,Credit Card,Delivered
16,2599,2025-12-15,UPI,Delivered
17,7725,2025-07-23,Wallet,Cancelled
18,7693,2024-06-13,Wallet,Delivered
19,9412,2024-07-19,Debit Card,Shipped
20,643,2025-11-24,COD,Shipped
21,8355,2024-02-12,UPI,Returned
22,784,2024-03-22,UPI,Returned
23,2727,2023-07-13,Debit Card,Returned
24,7024,2025-09-21,Wallet,Returned
25,5047,2025-04-25,Wallet,Delivered
26,1759,2024-11-04,COD,Returned
27,2953,2023-10-15,UPI,Returned
28,1074,2025-07-19,COD,Returned
29,7024,2025-05-05,Debit Card,Delivered
30,789,2023-12-05,Credit Card,Cancelled
31,777,2025-02-03,UPI,Returned
32,3824,2024-03-14,COD,Cancelled
33,307,2025-07-22,Debit Card,Cancelled
34,5659,2024-08-13,UPI,Cancelled
35,7135,2023-01-01,Credit Card,Returned
36,5728,2024-07-13,UPI,Returned
37,8839,2025-11-23,Debit Card,Cancelled
38,9252,2023-07-13,COD,Shipped
39,6491,2025-04-25,UPI,Delivered
40,6539,2025-01-17,UPI,Shipped
41,2950,2024-01-10,Debit Card,Returned
42,2560,2024-04-28,Wallet,Cancelled
43,631,2024-07-26,UPI,Returned
44,1271,2024-03-02,Debit Card,Delivered
45,8520,2023-07-13,Debit Card,Returned
46,9644,2024-06-03,Wallet,Delivered
47,5930,2025-08-07,Wallet,Delivered
48,7389,2023-06-05,Debit Card,Shipped
49,6815,2023-07-27,COD,Delivered
50,2564,2023-08-18,UPI,Shipped
51,9584,2023-07-10,Wallet,Delivered
52,6476,2023-06-20,UPI,Shipped
53,4456,2025-07-23,Credit Card,Shipped
54,1703,2024-03-25,COD,Returned
55,9807,2023-07-15,Debit Card,Cancelled
56,644,2025-10-25,UPI,Shipped
57,7840,2023-04-11,Credit Card,Returned
58,8506,2024-11-19,Credit Card,Returned
59,3930,2025-04-22,Wallet,Returned
60,4128,2025-01-03,Debit Card,Cancelled
61,4228,2025-02-11,COD,Cancelled
62,3152,2025-10-03,UPI,Delivered
63,8800,2023-07-19,Credit Card,Shipped
64,3871,2024-08-18,Debit Card,Cancelled
65,9739,2025-09-09,Wallet,Cancelled
66,3845,2023-04-20,UPI,Delivered
67,8432,2025-07-27,Credit Card,Delivered
68,5868,2024-11-20,COD,Shipped
69,673,2023-01-15,Debit Card,Shipped
70,3815,2025-10-06,UPI,Cancelled
71,295,2025-06-27,COD,Shipped
72,2302,2023-02-12,Wallet,Shipped
73,303,2023-10-17,COD,Shipped
74,2901,2025-09-27,COD,Cancelled
75,4305,2025-03-08,Debit Card,Returned
76,5213,2023-09-27,COD,Delivered
77,6897,2024-01-22,UPI,Cancelled
78,7674,2025-08-12,UPI,Cancelled
79,8997,2024-07-27,Wallet,Shipped
80,8537,2023-09-02,Wallet,Returned
81,8526,2024-07-14,Wallet,Cancelled
82,7282,2025-09-26,COD,Returned
83,6784,2024-05-09,Wallet,Delivered
84,9772,2023-06-14,UPI,Delivered
85,7661,2024-11-15,UPI,Delivered
86,9366,2024-11-20,Debit Card,Shipped
87,2505,2024-07-14,Wallet,Cancelled
88,7198,2025-06-26,UPI,Returned
89,6742,2023-10-19,Credit Card,Delivered
90,8611,2025-12-24,Debit Card,Returned
91,2724,2023-12-23,Credit Card,Shipped
92,212,2023-10-13,Wallet,Shipped
93,3257,2024-11-23,COD,Returned
94,5129,2025-11-03,Wallet,Cancelled
95,6716,2023-08-06,UPI,Delivered
96,6834,2025-11-17,UPI,Cancelled
97,7681,2024-02-01,Credit Card,Delivered
98,3676,2023-01-18,COD,Delivered
99,7810,2024-08-19,Credit Card,Delivered
100,6788,2023-06-22,Debit Card,Shipped
101,6608,2023-12-03,Credit Card,Delivered
102,4037,2024-04-13,Debit Card,Delivered
103,1318,2024-08-10,Wallet,Delivered
104,4454,2023-01-18,Debit Card,Shipped
105,9366,2023-03-09,COD,Cancelled
106,4145,2025-01-15,COD,Returned
107,3067,2023-11-13,Debit Card,Cancelled
108,7881,2023-01-19,UPI,Shipped
109,874,2023-04-01,Debit Card,Cancelled
110,4352,2023-08-19,Wallet,Cancelled
111,2414,2024-05-02,Debit Card,Cancelled
112,9724,2023-06-18,UPI,Delivered
113,103,2023-08-09,Debit Card,Returned
114,5673,2023-06-24,Credit Card,Shipped
115,3436,2024-06-06,Credit Card,Cancelled
116,2151,2023-04-11,COD,Cancelled
117,4730,2025-04-28,UPI,Delivered
118,7159,2025-02-09,Wallet,Delivered
119,8342,2025-07-11,UPI,Shipped
120,4567,2024-12-26,Wallet,Delivered
121,8810,2023-09-17,Wallet,Delivered
122,4441,2024-08-08,Credit Card,Returned
123,366,2024-07-02,UPI,Returned
124,4663,2023-08-27,Credit Card,Delivered
125,1266,2025-02-11,Debit Card,Cancelled
126,3655,2024-09-28,UPI,Cancelled
127,3493,2024-04-05,UPI,Shipped
128,9681,2025-10-13,Debit Card,Cancelled
129,8515,2023-08-20,UPI,Cancelled
130,4498,2024-06-24,Credit Card,Shipped
131,8328,2023-02-09,Debit Card,Shipped
132,6156,2024-05-09,Wallet,Cancelled
133,2036,2025-09-02,COD,Cancelled
134,9562,2024-09-14,COD,Shipped
135,7691,2025-01-13,Credit Card,Returned
136,4188,2025-08-16,UPI,Returned
137,5547,2025-02-10,Debit Card,Returned
138,8524,2024-05-14,UPI,Returned
139,8948,2023-09-19,Debit Card,Delivered
140,6285,2024-06-15,UPI,Cancelled
141,5516,2025-12-09,Debit Card,Shipped
142,3494,2024-01-07,Credit Card,Shipped
143,6238,2024-11-24,Credit Card,Cancelled
144,6822,2023-12-24,COD,Returned
145,8633,2024-01-18,UPI,Cancelled
146,2935,2025-11-19,Credit Card,Returned
147,4540,2025-06-12,Credit Card,Delivered
148,9305,2024-07-10,COD,Shipped
149,1107,2023-12-01,Wallet,Shipped
150,6134,2025-01-05,Credit Card,Delivered
151,5869,2023-01-12,UPI,Delivered
152,5332,2025-12-02,Debit Card,Shipped
